+--------------------------------------------------+------------------------+-----------------------+------------------------+
|                     formula                      |   operand 1 nnz (%)    |   operand 2 nnz (%)   |     result nnz (%)     |
|                    Ļi,Ļi->Ļi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|             Ļi,ļĻißtGwÉǕ->ĻiļßtGwÉǕ              |     3 / 4 (75.00)      |    50 / 512 (9.77)    |    50 / 512 (9.77)     |
|                   vut,vut->vut                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    vut,v->ut                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|             ut,ĻiļßtGwÉǕ->uĻiļßGwÉǕ              |     2 / 4 (50.00)      |    50 / 512 (9.77)    |    50 / 512 (9.77)     |
|             uĻiļßGwÉǕ,ĻG->uĻiļßGwÉǕ              |    50 / 512 (9.77)     |     3 / 4 (75.00)     |    42 / 512 (8.20)     |
|             uĻiļßGwÉǕ,ðG->uĻiļßwÉǕð              |    42 / 512 (8.20)     |     3 / 4 (75.00)     |    58 / 512 (11.33)    |
|                   ȀǿǾ,ȀǿǾ->ȀǿǾ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ȀǿǾ,Ȁ->ǿǾ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    ǿǾ,ðǿ->Ǿð                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Ǿð,Ǿi->ði                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ði,ði->ði                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|             ði,uĻiļßwÉǕð->ðiuĻļßwÉǕ              |     3 / 4 (75.00)      |    58 / 512 (11.33)   |    58 / 512 (11.33)    |
|             ðiuĻļßwÉǕ,Éu->ðiuĻļßwÉǕ              |    58 / 512 (11.33)    |     3 / 4 (75.00)     |    42 / 512 (8.20)     |
|                   òñð,òñð->òñð                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    òñð,ò->ñð                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|             ñð,ðiuĻļßwÉǕ->ñiuĻļßwÉǕ              |     2 / 4 (50.00)      |    42 / 512 (8.20)    |    42 / 512 (8.20)     |
|             ñiuĻļßwÉǕ,Éñ->ñiuĻļßwÉǕ              |    42 / 512 (8.20)     |     3 / 4 (75.00)     |    38 / 512 (7.42)     |
|             ñiuĻļßwÉǕ,Éë->ñiuĻļßwÉǕë             |    38 / 512 (7.42)     |     3 / 4 (75.00)     |    72 / 1024 (7.03)    |
|            ñiuĻļßwÉǕë,bu->ñiuĻļßwÉǕëb            |    72 / 1024 (7.03)    |     3 / 4 (75.00)     |    92 / 2048 (4.49)    |
|                   yxw,yxw->yxw                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    yxw,y->xw                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    xw,bx->wb                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|           wb,ñiuĻļßwÉǕëb->wbñiuĻļßÉǕë            |     3 / 4 (75.00)      |    92 / 2048 (4.49)   |    82 / 2048 (4.00)    |
|                   WVU,WVU->WVU                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    WVU,W->VU                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    VU,Ui->Vi                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    Vi,bV->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    ib,bi->ib                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   pon,pon->pon                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    pon,p->on                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
|                    on,bo->nb                     |     2 / 4 (50.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    nb,ni->bi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                    bi,ib->bi                     |     3 / 4 (75.00)      |     3 / 4 (75.00)     |     3 / 4 (75.00)      |
|                   ÝÜÛ,ÝÜÛ->ÝÜÛ                   |     7 / 8 (87.50)      |     7 / 8 (87.50)     |     6 / 8 (75.00)      |
|                    ÝÜÛ,Ý->ÜÛ                     |     6 / 8 (75.00)      |     1 / 2 (50.00)     |     2 / 4 (50.00)      |
